city,lat,lng,max_temp,humidity,windspeed,cloudiness,country,date
nome,64.5,-165.41,62.6,59,5.82,90,US,1592407832
romny,50.75,33.47,75.43,81,10.42,14,UA,1592407959
pangody,65.85,74.49,46.63,53,6.69,30,RU,1592408107
namibe,-15.2,12.15,78.8,69,16.11,20,AO,1592408107
cape town,-33.93,18.42,66.99,39,5.82,0,ZA,1592408068
dakar,14.69,-17.44,86.0,74,11.41,0,SN,1592407977
prince rupert,54.32,-130.32,53.6,81,1.32,90,CA,1592408108
camacha,33.08,-16.33,69.8,94,5.82,75,PT,1592408108
isangel,-19.55,169.27,73.4,83,6.93,20,VU,1592407931
otane,-39.88,176.63,46.99,93,1.95,84,NZ,1592408108
nueve de julio,-35.44,-60.88,73.99,73,8.99,64,AR,1592408108
chokurdakh,70.63,147.92,64.56,51,10.85,42,RU,1592407780
lompoc,34.64,-120.46,57.2,76,2.19,0,US,1592407779
bredasdorp,-34.53,20.04,71.6,43,3.31,0,ZA,1592408109
lynn haven,30.25,-85.65,75.99,64,9.17,90,US,1592408109
padang,-0.95,100.35,78.82,80,4.43,67,ID,1592408109
clyde river,70.47,-68.59,33.8,73,6.93,90,CA,1592407886
tessalit,20.2,1.01,111.88,6,10.07,0,ML,1592408109
sabang,5.89,95.32,83.91,77,8.9,99,ID,1592408109
east london,-33.02,27.91,66.2,59,12.75,0,ZA,1592408109
codrington,-38.27,141.97,43.57,85,8.95,44,AU,1592408109
abu dhabi,24.47,54.37,96.8,50,9.17,0,AE,1592408110
tawang,27.58,91.87,60.4,80,2.51,100,IN,1592408110
lucapa,-8.42,20.74,78.06,31,4.99,0,AO,1592408110
baykit,61.67,96.37,53.76,66,2.59,70,RU,1592408110
kavaratti,10.57,72.64,85.24,78,18.52,100,IN,1592407904
el reno,35.53,-97.95,84.0,61,19.46,40,US,1592408110
airai,-8.93,125.41,55.62,95,4.81,7,TL,1592408110
pingliang,35.54,106.69,58.96,67,4.16,0,CN,1592408110
grindavik,63.84,-22.43,50.0,71,12.75,75,IS,1592408111
bilibino,68.05,166.44,63.63,49,3.94,99,RU,1592408111
biryusinsk,55.96,97.82,49.57,71,5.66,0,RU,1592408111
kodiak,57.79,-152.41,50.0,87,21.92,90,US,1592407985
walla walla,46.06,-118.34,60.01,66,11.41,90,US,1592408072
domoni,-12.26,44.53,75.76,76,10.33,52,KM,1592408111
bentiu,9.23,29.83,83.41,63,5.61,72,SS,1592408111
xuanhua,40.61,115.04,73.0,46,4.21,99,CN,1592408111
abbeville,50.1,1.83,68.0,72,6.73,100,FR,1592408112
ribeira grande,38.52,-28.7,68.0,77,6.93,75,PT,1592407879
lata,40.16,-8.33,70.0,62,11.77,0,PT,1592407925
saint-pierre,-21.34,55.48,66.2,88,17.22,90,RE,1592408116
ponta do sol,32.67,-17.1,71.6,83,8.05,40,PT,1592408164
necochea,-38.55,-58.74,62.01,99,7.0,100,AR,1592408071
linden,6.0,-58.3,84.2,74,4.7,75,GY,1592408164
binzhou,37.37,118.02,68.49,71,4.14,100,CN,1592408164
thibodaux,29.8,-90.82,86.0,63,1.01,0,US,1592407904
willowmore,-33.29,23.49,52.48,44,6.08,0,ZA,1592408165
itarema,-2.92,-39.92,85.59,62,14.05,8,BR,1592408165
sur,22.57,59.53,89.11,67,12.1,8,OM,1592407891
cordoba,-31.41,-64.18,72.0,68,9.17,75,AR,1592408022
boyolangu,-8.12,111.89,76.1,89,5.17,56,ID,1592408165
